Time (s),Container_Name,Container_ID,CPU_Usage,Memory_Usage,Memory_Percent,Net_IO,Block_IO,PIDs
0,cypress-test-container-4,497e745456ff,126.98%,208.8MiB / 7.684GiB,2.65%,3.42kB / 180B,0B / 0B,38
3,cypress-test-container-4,497e745456ff,178.82%,349.8MiB / 7.684GiB,4.45%,4.6kB / 924B,0B / 442kB,217
5,cypress-test-container-4,497e745456ff,232.72%,524.9MiB / 7.684GiB,6.67%,4.65kB / 966B,0B / 2.03MB,303
7,cypress-test-container-4,497e745456ff,148.85%,616.5MiB / 7.684GiB,7.83%,77.1kB / 15kB,0B / 2.08MB,431
9,cypress-test-container-4,497e745456ff,174.11%,804.3MiB / 7.684GiB,10.22%,77.6kB / 15.6kB,0B / 2.45MB,433
12,cypress-test-container-4,497e745456ff,135.69%,638.5MiB / 7.684GiB,8.12%,89.7kB / 18.1kB,0B / 2.45MB,430
15,cypress-test-container-4,497e745456ff,174.41%,729.7MiB / 7.684GiB,9.27%,90.3kB / 18.8kB,0B / 31.1MB,434
17,cypress-test-container-4,497e745456ff,117.42%,858.2MiB / 7.684GiB,10.91%,103kB / 25.9kB,0B / 31.1MB,434
19,cypress-test-container-4,497e745456ff,159.05%,880.7MiB / 7.684GiB,11.19%,1.38MB / 61.9kB,0B / 31.4MB,438
21,cypress-test-container-4,497e745456ff,96.69%,905.5MiB / 7.684GiB,11.51%,6.11MB / 130kB,0B / 34.5MB,437
25,cypress-test-container-4,497e745456ff,251.64%,931.6MiB / 7.684GiB,11.84%,9.5MB / 173kB,0B / 37.6MB,438
28,cypress-test-container-4,497e745456ff,152.00%,865MiB / 7.684GiB,10.99%,12.4MB / 210kB,0B / 40.5MB,437
30,cypress-test-container-4,497e745456ff,109.61%,874.6MiB / 7.684GiB,11.12%,13MB / 239kB,0B / 40.6MB,438
33,cypress-test-container-4,497e745456ff,107.73%,904MiB / 7.684GiB,11.49%,13.5MB / 276kB,0B / 40.7MB,438
36,cypress-test-container-4,497e745456ff,101.78%,927.1MiB / 7.684GiB,11.78%,13.6MB / 289kB,0B / 40.7MB,438
39,cypress-test-container-4,497e745456ff,150.41%,630.9MiB / 7.684GiB,8.02%,13.6MB / 294kB,0B / 42.7MB,435
42,cypress-test-container-4,497e745456ff,247.32%,625MiB / 7.684GiB,7.94%,13.7MB / 303kB,0B / 42.7MB,435
45,cypress-test-container-4,497e745456ff,85.37%,644.5MiB / 7.684GiB,8.19%,13.9MB / 325kB,0B / 43MB,435
48,cypress-test-container-4,497e745456ff,200.24%,679.1MiB / 7.684GiB,8.63%,14.8MB / 419kB,0B / 43.1MB,442
50,cypress-test-container-4,497e745456ff,195.52%,692.6MiB / 7.684GiB,8.80%,15MB / 465kB,0B / 43.1MB,442
52,cypress-test-container-4,497e745456ff,185.88%,714.4MiB / 7.684GiB,9.08%,15.5MB / 566kB,0B / 43.1MB,441
55,cypress-test-container-4,497e745456ff,220.29%,746.3MiB / 7.684GiB,9.48%,15.6MB / 616kB,0B / 43.2MB,441
58,cypress-test-container-4,497e745456ff,217.35%,791.8MiB / 7.684GiB,10.06%,15.9MB / 701kB,0B / 43.2MB,441
61,cypress-test-container-4,497e745456ff,147.14%,824.6MiB / 7.684GiB,10.48%,16MB / 728kB,0B / 58.7MB,452
63,cypress-test-container-4,497e745456ff,128.09%,630.5MiB / 7.684GiB,8.01%,16.1MB / 736kB,0B / 59.2MB,436
66,cypress-test-container-4,497e745456ff,89.87%,689.4MiB / 7.684GiB,8.76%,16.2MB / 743kB,0B / 59.2MB,437
68,cypress-test-container-4,497e745456ff,287.42%,738.2MiB / 7.684GiB,9.38%,17.4MB / 954kB,0B / 59.2MB,444
70,cypress-test-container-4,497e745456ff,297.25%,772.2MiB / 7.684GiB,9.81%,18.1MB / 1.1MB,0B / 59.3MB,442
73,cypress-test-container-4,497e745456ff,244.75%,710.7MiB / 7.684GiB,9.03%,18.1MB / 1.11MB,0B / 60.2MB,437
76,cypress-test-container-4,497e745456ff,145.61%,916.3MiB / 7.684GiB,11.65%,18.1MB / 1.12MB,0B / 60.4MB,437
78,cypress-test-container-4,497e745456ff,199.36%,812.2MiB / 7.684GiB,10.32%,18.1MB / 1.13MB,0B / 60.4MB,434
80,cypress-test-container-4,497e745456ff,146.48%,820.3MiB / 7.684GiB,10.43%,18.2MB / 1.14MB,0B / 60.4MB,437
82,cypress-test-container-4,497e745456ff,145.52%,988.2MiB / 7.684GiB,12.56%,18.4MB / 1.16MB,0B / 60.5MB,437
85,cypress-test-container-4,497e745456ff,96.29%,1.012GiB / 7.684GiB,13.17%,19.1MB / 1.2MB,0B / 60.6MB,438
87,cypress-test-container-4,497e745456ff,180.57%,1.107GiB / 7.684GiB,14.41%,19.1MB / 1.22MB,0B / 61.4MB,451
89,cypress-test-container-4,497e745456ff,217.44%,1.11GiB / 7.684GiB,14.45%,19.1MB / 1.23MB,0B / 61.6MB,452
92,cypress-test-container-4,497e745456ff,210.92%,1.172GiB / 7.684GiB,15.26%,21MB / 1.3MB,0B / 62.3MB,452
95,cypress-test-container-4,497e745456ff,254.74%,1.215GiB / 7.684GiB,15.81%,21.7MB / 1.43MB,0B / 62.4MB,453
97,cypress-test-container-4,497e745456ff,227.55%,1.304GiB / 7.684GiB,16.97%,22.2MB / 1.51MB,0B / 62.5MB,453
99,cypress-test-container-4,497e745456ff,262.83%,1.255GiB / 7.684GiB,16.33%,22.9MB / 1.66MB,0B / 62.7MB,454
